A;T;S;R;H;F;Q;P;D;L;X;W;C;V
6.6;178;0.46;7.2;0.048;55;5;3.2;0.99537;9.4;0.20;0.54;0.41;0.32
6;207;0.3;9.7;0.048;101;5;3.05;0.99571;9.1;0.17;0.12;0.15;0.23
5.3;132;0.4;6.3;0.028;40;6;3.37;0.99186;11.6;0.10;0.08;0.27;0.36
5.3;132;0.4;6.3;0.028;40;6;3.37;0.99186;11.6;0.25;0.64;0.27;0.36
8.9;128;0.35;0.8;0.024;29;6;3.01;0.98984;12.4;0.13;0.72;0.28;0.27
7.6;146;0.32;8.6;0.053;65;6;3.11;0.9963;9.8;0.25;0.50;0.29;0.23
6.9;50;0.25;6.3;0.036;19;4;3.09;0.99312;11.1;0.17;0.18;0.13;0.75
7.1;134;0.38;3.1;0.034;28;7;3.26;0.9897;13.1;0.50;0.24;0.27;0.35
7.2;178;0.53;7.2;0.046;45;5;3.14;0.9955;9.7;0.14;0.48;0.35;0.31
6.4;179;0.48;7.1;0.048;49;5;3.15;0.99528;9.2;0.25;0.11;0.44;0.28
7.2;85;0.78;6.4;0.036;17;6;3.1;0.99279;11.7;0.10;0.60;0.46;0.23
6.6;136;0.37;14.7;0.045;50;6;3.14;0.99704;10.6;0.17;0.87;0.3;0.22
7.2;178;0.53;7.2;0.046;45;5;3.14;0.9955;9.7;0.50;0.85;0.35;0.31
6.4;179;0.48;7.1;0.048;49;5;3.15;0.99528;9.2;0.50;0.61;0.44;0.28
7.2;92;0.39;1.9;0.032;30;6;3.1;0.9914;10.9;0.14;0.36;0.28;0.24
6.2;105;0.51;1.2;0.146;28;5;3.23;0.99224;10.1;0.20;0.91;0.47;0.27
6.5;128;0.44;4.8;0.029;54;7;3.17;0.99074;12.2;0.17;0.85;0.25;0.28
7.2;80;0.33;1.2;0.031;27;6;3.03;0.98892;12.7;0.50;0.97;0.31;0.27
7.8;99;0.37;3.4;0.024;27;6;2.98;0.98959;13;0.25;0.54;0.25;0.28
8.1;123;0.33;4.3;0.03;43;6;3.16;0.99212;11.2;0.20;0.82;0.27;0.26
6.6;153;0.48;8.5;0.036;46;6;3.2;0.99576;9.4;0.33;0.55;0.37;0.23
6;159;0.53;1.8;0.031;49;6;3.41;0.9919;11;0.13;0.26;0.2;0.33
6;159;0.53;1.8;0.031;49;6;3.41;0.9919;11;0.25;0.42;0.2;0.33
7.3;237;0.48;19.5;0.039;69;6;3.1;1.00037;9.2;0.10;0.24;0.29;0.2
6.6;153;0.48;8.5;0.036;46;6;3.2;0.99576;9.4;1.00;0.22;0.37;0.23
7.3;237;0.48;19.9;0.039;69;6;3.1;1.00037;9.2;0.20;0.71;0.29;0.2
6.2;142;0.45;8.3;0.029;24;6;3.22;0.992;12.3;0.10;0.99;0.19;0.47
6;159;0.53;1.8;0.031;49;6;3.41;0.9919;11;1.00;0.06;0.2;0.33
7.2;116;0.67;1.1;0.022;48;6;3.04;0.99218;10;0.20;0.82;0.32;0.14
5.7;110;0.48;16.65;0.044;39;6;3.24;0.99855;9;1.00;0.09;0.22;0.22
5.7;110;0.48;16.65;0.044;39;6;3.24;0.99855;9;0.10;0.52;0.22;0.22
5.7;110;0.48;16.65;0.044;39;6;3.24;0.99855;9;0.11;0.71;0.22;0.22
8.1;87;0.36;0.9;0.023;49;6;2.92;0.99062;11.1;1.00;0.86;0.28;0.2
5.8;123;0.6;6.1;0.042;27;6;3.06;0.99362;9.9;0.11;0.70;0.15;0.14
4.8;112;0.48;10.2;0.037;17;7;3.66;0.99324;12.2;1.00;0.82;0.21;0.21
8.1;87;0.36;0.9;0.023;49;6;2.92;0.99062;11.1;0.11;0.28;0.28;0.2
5.7;110;0.48;16.65;0.044;39;6;3.24;0.99855;9;0.25;0.86;0.22;0.22
7.5;34;0.36;3.85;0.031;5;4;3.01;0.99098;11.8;0.25;0.19;0.24;0.34
6.6;78;0.62;4.4;0.032;19;6;3.11;0.99036;12.9;0.33;0.44;0.28;0.64
7;86;0.35;4.5;0.05;23;5;2.86;0.99398;9;0.50;0.51;0.12;0.48
7.6;162;0.33;3.2;0.028;42;6;3.01;0.9903;12.4;0.13;0.15;0.34;0.37
7;86;0.35;4.5;0.05;23;5;2.86;0.99398;9;0.13;0.41;0.12;0.48
6.6;78;0.62;4.4;0.032;19;6;3.11;0.99036;12.9;0.33;0.73;0.28;0.64
8;85;0.36;9.7;0.036;15;6;2.99;0.99406;11.2;0.17;0.53;0.27;0.25
7.6;112;0.41;4.2;0.029;7;6;3;0.9906;12.6;0.20;0.16;0.28;0.38
6.9;80;0.39;4.2;0.031;20;6;3.12;0.99089;11.5;0.14;0.84;0.27;0.26
7.8;93;0.72;1.1;0.035;31;7;3.07;0.99096;11.3;0.17;0.10;0.34;0.15
8;85;0.36;9.7;0.036;15;6;2.99;0.99406;11.2;0.25;0.14;0.27;0.25
6.9;80;0.39;4.2;0.031;20;6;3.12;0.99089;11.5;0.14;0.11;0.27;0.26
5.9;31;0.51;5.6;0.033;8;4;3.32;0.9936;10.5;0.14;0.77;0;0.655
7.6;112;0.41;4.2;0.029;7;6;3;0.9906;12.6;0.11;0.48;0.28;0.38
7.8;87;0.48;1.6;0.027;20;6;3.15;0.9911;11.9;0.33;0.73;0.4;0.31
8.1;119;0.52;1.6;0.036;24;6;3.18;0.99396;10.1;0.13;0.46;0.21;0.17
6.8;112;0.45;1.1;0.027;32;7;3.15;0.99089;11;0.33;0.04;0.28;0.18
7.4;161;0.56;14.6;0.048;35;5;3.14;0.9968;10.6;0.20;0.27;0.36;0.28
7.3;120;0.59;2.6;0.035;39;7;3.04;0.99138;11.3;0.17;0.77;0.27;0.23
6.7;124;0.37;1.2;0.038;5;4;3.1;0.99098;11.2;0.11;0.28;0.22;0.22
7.4;78;0.37;7.25;0.028;14;7;2.94;0.99238;11.5;1.00;0.25;0.28;0.25
7.5;143;0.35;6.55;0.026;33;5;2.92;0.99244;11.1;0.25;0.04;0.21;0.3
7.2;130;0.49;7;0.023;19;7;3.14;0.99176;12.8;0.11;0.31;0.24;0.26
6.3;76;0.46;1.5;0.037;12;6;3.3;0.98993;12.3;0.13;0.46;0.32;0.32
7.7;102;0.53;1.4;0.041;15;6;3.26;0.9929;10.4;1.00;0.38;0.3;0.24
7.4;78;0.37;7.25;0.028;14;7;2.94;0.99238;11.5;0.17;0.88;0.28;0.25
7;104;0.37;1;0.032;42;7;3.16;0.98988;11.7;0.20;0.16;0.35;0.24
5.8;158;0.44;4.2;0.044;52;7;3.35;0.992;10.7;0.13;0.85;0.28;0.28
6.8;114;0.5;17.5;0.042;21;6;2.85;0.99784;9.5;0.25;0.99;0.71;0.19
6.8;114;0.5;17.5;0.042;21;6;2.85;0.99784;9.5;0.11;0.97;0.71;0.19
6.8;114;0.5;17.5;0.042;21;6;2.85;0.99784;9.5;0.10;0.06;0.71;0.19
6.6;107;0.68;1.5;0.037;37;7;3.18;0.99006;12;0.50;0.43;0.35;0.19
6.4;186;0.45;1.3;0.053;28;5;3.31;0.99211;10.8;1.00;0.42;0.36;0.28
5.6;158;0.44;3.9;0.043;52;7;3.35;0.99202;10.7;0.50;0.93;0.27;0.28
5.6;158;0.44;4.2;0.044;52;7;3.35;0.992;10.7;0.20;0.75;0.28;0.28
6.8;107;0.44;7.6;0.049;37;7;3.12;0.99332;10.7;0.11;0.44;0.32;0.19
7.2;123;0.4;1;0.031;40;7;3.12;0.98958;12.1;0.20;0.05;0.29;0.16
6.6;108;0.52;1.1;0.034;55;7;3;0.98939;11.9;0.20;0.48;0.28;0.17
6.6;137;0.37;11.8;0.042;54;6;3.18;0.99492;10.8;0.50;0.28;0.28;0.19
5.8;169;0.56;1.4;0.033;65;7;3.59;0.99043;12.3;0.11;0.25;0.24;0.2
6.6;226;0.57;9.7;0.053;49;6;3.3;0.99787;9.4;0.50;0.82;0.38;0.39
6.8;88;0.35;12.9;0.049;32;6;3.2;0.99654;9.9;0.14;0.31;0.3;0.12
6.6;140;0.61;1.6;0.039;29;7;3.35;0.99304;10.4;0.33;0.83;0.24;0.295
6.6;137;0.6;7.2;0.038;28;6;3.35;0.9952;10.4;1.00;0.07;0.24;0.26
7;122;0.6;7.1;0.027;37;7;3.15;0.99165;12.6;1.00;0.71;0.27;0.32
7.4;69;0.36;1.9;0.017;31;6;2.93;0.9892;12.5;0.14;0.26;0.23;0.36
6.7;167;0.47;8.8;0.056;35;5;3.04;0.99628;9.4;0.13;0.88;0.48;0.35
6.4;151;0.6;7.2;0.047;41;5;3.11;0.99604;9.2;0.10;0.89;0.24;0.38
6.8;90;0.54;1.4;0.047;30;6;3.27;0.99164;11.2;1.00;0.56;0.18;0.14
7;149;0.46;14.3;0.044;27;6;2.91;0.998;9.2;0.13;0.05;0.25;0.16
7;149;0.46;14.3;0.044;27;6;2.91;0.998;9.2;0.11;0.92;0.25;0.16
6.7;167;0.47;8.8;0.056;35;5;3.04;0.99628;9.4;0.14;0.09;0.48;0.35
6.8;90;0.54;1.4;0.047;30;6;3.27;0.99164;11.2;0.25;0.70;0.18;0.14
6.8;114;0.55;1.8;0.046;31;6;3.27;0.99226;10.8;0.17;0.11;0.18;0.16
7;149;0.46;14.3;0.044;27;6;2.91;0.998;9.2;0.33;0.73;0.25;0.16
6.4;151;0.6;7.2;0.047;41;5;3.11;0.99604;9.2;0.11;0.53;0.24;0.38
7.2;95;0.36;1.2;0.037;11;6;2.96;0.98914;12.5;0.14;0.23;0.3;0.24
7.7;188;0.54;11.8;0.041;66;5;3;0.99794;9.3;0.13;0.14;0.61;0.32
7;117;0.5;0.9;0.041;20;5;3.21;0.99048;11.4;0.13;0.38;0.33;0.29
7.1;118;0.56;12.6;0.044;48;7;3.04;0.99726;10;0.10;0.72;0.24;0.27
6.8;122;0.42;26.05;0.031;27;6;3.06;1.00295;10.6;0.25;0.80;0.28;0.45
6.3;168;0.75;4.7;0.04;108;7;3.07;0.99278;10.7;0.50;0.02;0.26;0.2
7.1;118;0.56;12.6;0.044;48;7;3.04;0.99726;10;0.17;0.17;0.24;0.27
7.2;95;0.36;1.2;0.037;11;6;2.96;0.98914;12.5;0.14;0.65;0.3;0.24
6.8;122;0.42;26.05;0.031;27;6;3.06;1.00295;10.6;0.20;0.98;0.28;0.45
6.6;93;0.27;6.1;0.029;12;7;3.19;0.99054;12.8;0.17;0.50;0.28;0.36
7.7;188;0.54;11.8;0.041;66;5;3;0.99794;9.3;0.11;0.16;0.61;0.32
7;117;0.5;0.9;0.041;20;5;3.21;0.99048;11.4;0.33;0.68;0.33;0.29
6.4;183;0.43;5.6;0.117;61;5;3.24;0.99459;9.5;0.14;0.08;0.2;0.37
6.4;181;0.43;5.3;0.117;57;6;3.24;0.99459;9.5;0.20;0.26;0.2;0.38
6.4;172;0.43;5.7;0.118;61;6;3.24;0.9946;9.5;0.13;0.94;0.2;0.36
6.6;124;0.38;8;0.036;21;6;3.06;0.99362;10.8;1.00;0.21;0.25;0.3
6.6;124;0.38;8;0.036;21;6;3.06;0.99362;10.8;0.50;0.62;0.25;0.3
6.5;125;0.47;17.6;0.045;34;6;3.2;0.99966;8.8;0.17;0.87;0.51;0.21
6.6;124;0.38;8;0.036;21;6;3.06;0.99362;10.8;0.14;0.85;0.25;0.3
7.6;156;0.38;8.8;0.021;57;7;3.08;0.99442;11;0.13;0.76;0.27;0.31
5.8;96;0.38;1.5;0.02;33;6;3.29;0.98918;12.4;0.17;0.03;0;0.58
6.5;66;0.75;1.4;0.02;12;7;3.25;0.99089;11.3;0.20;0.46;0.39;0.26
8.7;127;0.49;4.8;0.018;23;7;3.12;0.99474;11.2;0.20;0.95;0.34;0.3
6.4;89;0.66;2.4;0.014;34;7;3.24;0.99008;12.5;1.00;0.69;0.32;0.29
6.7;99;0.44;3.7;0.017;32;6;3.12;0.99348;10;0.17;0.67;0.32;0.13
6.8;130;0.56;4.9;0.047;42;6;3.12;0.99283;11;0.33;0.11;0.33;0.19
6;152;0.88;5.7;0.052;56;6;3.16;0.99398;10.5;0.13;0.26;0.4;0.25
6;152;0.88;5.7;0.052;56;6;3.16;0.99398;10.5;0.11;0.52;0.4;0.25
6.8;130;0.56;4.9;0.047;42;6;3.12;0.99283;11;0.33;0.67;0.33;0.19
6.4;133;0.54;2;0.046;30;7;3.12;0.9908;11.4;0.25;0.82;0.23;0.24
5.9;139;0.44;5.1;0.039;50;6;3.16;0.99165;11.3;0.13;0.37;0.28;0.18
7.2;73;0.52;4.5;0.031;10;7;2.97;0.99076;12.2;0.50;0.15;0.22;0.33
6.4;95;0.66;3.2;0.037;31;7;2.9;0.98942;12.6;0.33;0.67;0.24;0.29
7.3;138;0.37;6.65;0.032;30;5;2.9;0.99244;11.1;0.20;0.37;0.25;0.31
7;126;0.47;1.6;0.035;34;6;3.26;0.99058;12.3;0.25;0.11;0.37;0.29
6.9;122;0.59;4;0.037;6;4;2.92;0.99255;10.4;0.17;0.13;0.6;0.19
6.3;190;0.48;17.75;0.06;51;6;3.13;0.99916;8.8;0.17;0.11;0.17;0.32
6.6;109;0.61;1.4;0.036;17;6;3.27;0.99306;9.5;0.25;0.78;0.33;0.085
6.3;190;0.48;17.75;0.06;51;6;3.13;0.99916;8.8;1.00;0.60;0.17;0.32
6.8;109;0.44;7.2;0.047;17;6;3.42;0.99498;10.4;1.00;0.69;0.32;0.18
6.8;130;0.27;5.7;0.038;27;7;3.11;0.99;13;0.50;0.94;0.26;0.52
7.1;191;0.46;8.5;0.03;25;7;3.16;0.99338;12.2;0.33;0.19;0.28;0.28
5.7;128;0.34;11.4;0.035;49;8;3.03;0.99456;10.5;0.50;0.82;0.47;0.15
5.8;149;0.42;5.4;0.043;41;7;3.33;0.9926;10.8;0.10;0.54;0.3;0.275
5.4;128;0.53;2.7;0.036;34;8;3.2;0.98856;13.2;0.33;0.80;0.16;0.53
5.8;115;0.57;4.3;0.032;46;8;3.16;0.98946;13;0.33;0.50;0.28;0.32
6.7;152;0.47;1.2;0.049;26;6;3.5;0.99346;10;0.20;0.68;0.39;0.22
6.1;76;0.48;1.8;0.05;11;4;3.42;0.99268;10.4;0.20;0.97;0.12;0.6
6.5;145;0.54;1.3;0.034;59;6;3.16;0.98944;12.4;0.13;0.33;0.31;0.26
5;155;0.34;5.7;0.035;54;8;3.27;0.98976;12.9;0.14;0.82;0.54;0.29
5.4;128;0.53;2.7;0.036;34;8;3.2;0.98856;13.2;0.33;0.44;0.16;0.53
6.8;152;0.56;11.7;0.038;61;7;3.02;0.99523;10.5;0.14;0.76;0.26;0.21
5.8;115;0.57;4.3;0.032;46;8;3.16;0.98946;13;0.13;0.90;0.28;0.32
6.5;82;0.36;11;0.03;2;5;3.07;0.99402;11.2;0.20;0.79;0.26;0.27
5.9;102;0.55;1.6;0.029;41;7;3.41;0.98916;12.7;0.50;0.60;0.32;0.37
6.2;155;0.52;11.6;0.044;61;6;3.14;0.99655;9.4;0.50;0.40;0.18;0.21
6.8;95;0.32;6.2;0.025;29;7;3.03;0.99071;12.9;0.20;0.77;0.29;0.3
7.3;74;0.35;1.8;0.032;26;8;2.96;0.98889;13;0.14;0.26;0.29;0.41
5.4;93;0.4;1.2;0.029;25;7;3.31;0.98742;13.6;0.33;0.51;0.3;0.3
6.6;112;0.55;1;0.053;26;5;3.32;0.99336;9.1;0.20;0.09;0.2;0.34
5.6;166;0.43;2.4;0.049;42;6;3.25;0.992;10.4;0.20;0.77;0.19;0.25
5.3;93;0.4;1.2;0.029;25;7;3.31;0.98742;13.6;0.17;0.74;0.3;0.3
6.9;169;0.44;8.2;0.032;29;6;3.28;0.99275;12.2;0.25;0.85;0.58;0.58
7.2;111;0.51;18.8;0.085;19;5;3.1;1.00044;8.7;0.11;0.77;0.25;0.23
7.1;105;0.37;9.6;0.037;19;7;3.04;0.99444;10.5;0.13;0.55;0.27;0.2
6.8;183;0.78;12.9;0.044;79.5;6;3.24;0.99742;10.2;0.14;0.59;0.41;0.15
7;122;0.34;9.2;0.027;37;8;3.06;0.99228;12.5;0.11;0.30;0.26;0.22
6.4;122;0.75;1.2;0.051;39;7;3.11;0.99058;11.3;0.33;0.57;0.44;0.16
6.8;183;0.78;12.9;0.044;79.5;6;3.24;0.99742;10.2;0.13;0.05;0.41;0.15
6.8;122;0.63;8;0.028;33;7;3.13;0.99164;12.6;0.20;0.04;0.3;0.31
6.8;183;0.78;12.9;0.044;79.5;6;3.24;0.99742;10.2;0.25;0.05;0.41;0.15
7.6;177;0.5;1.6;0.087;27;5;3.09;0.99438;9.8;0.20;0.50;0.37;0.3
6;98;0.34;12;0.03;39;5;3.15;0.99402;10.8;0.14;0.08;0.27;0.16
7.1;186;0.56;2.5;0.04;41;6;3.32;0.99128;12.5;0.20;0.88;0.35;0.21
7;122;0.34;9.2;0.027;37;8;3.06;0.99228;12.5;0.14;0.17;0.26;0.22
5.6;150;0.31;4.4;0.027;37;7;3.3;0.991;11.5;0.14;0.35;0.24;0.21
7.4;112;0.41;8.8;0.027;23;6;2.98;0.9931;11.4;0.13;0.78;0.26;0.22
7.1;105;0.37;9.6;0.037;19;7;3.04;0.99444;10.5;1.00;0.86;0.27;0.2
6.8;122;0.63;8;0.028;33;7;3.13;0.99164;12.6;0.11;0.53;0.3;0.31
7.2;111;0.51;18.8;0.085;19;5;3.1;1.00044;8.7;0.11;0.39;0.25;0.23
6.4;146;0.68;1.3;0.053;61;6;3.17;0.99112;11;0.17;0.27;0.4;0.15
6.4;122;0.75;1.2;0.051;39;7;3.11;0.99058;11.3;0.14;0.78;0.44;0.16
6.8;182;0.78;12.9;0.044;79.5;6;3.24;0.99742;10.2;0.14;0.53;0.41;0.15
6.3;96;0.74;1.2;0.036;32;6;3.06;0.98961;11.6;0.13;0.41;0.34;0.22
7.6;177;0.5;1.6;0.087;27;5;3.09;0.99438;9.8;0.17;0.85;0.37;0.3
7;145;0.52;1.5;0.076;24;5;3.1;0.99344;10.1;0.50;0.84;0.27;0.3
6.6;139;0.5;18.15;0.05;23;5;3.06;0.99904;9.2;0.25;0.09;0.22;0.26
7.5;180;0.53;13.1;0.05;26;6;3.05;0.99884;9.1;0.20;0.49;0.31;0.24
7.5;180;0.53;13.1;0.05;26;6;3.05;0.99884;9.1;1.00;0.89;0.31;0.24
7.5;180;0.53;13.1;0.05;26;6;3.05;0.99884;9.1;0.33;0.06;0.31;0.24
7.5;180;0.53;13.1;0.05;26;6;3.05;0.99884;9.1;0.17;0.70;0.31;0.24
6.6;79;0.5;1;0.037;45;6;2.96;0.98949;11.7;0.20;0.87;0.34;0.15
6.7;114;0.44;1.6;0.041;29;6;3.23;0.99014;12.6;0.13;0.98;0.43;0.34
7.7;183;0.47;11.8;0.088;61;5;2.86;0.99786;9;0.10;0.06;0.46;0.35
6.7;141;0.44;1.4;0.039;53;5;3.12;0.99206;10.1;0.13;0.78;0.09;0.31
4.7;9;0.34;1;0.02;5;5;3.3;0.98722;13.6;0.25;0.97;0.09;0.67
7.5;180;0.53;13.1;0.05;26;6;3.05;0.99884;9.1;0.13;0.79;0.31;0.24
6.3;159;0.54;10.6;0.045;57;5;3.09;0.99666;9.2;0.50;0.38;0.18;0.2
6.6;190;0.51;10.4;0.049;45;5;3.12;0.99754;8.8;0.17;0.64;0.23;0.28
8.5;95;0.36;1.1;0.028;34;4;2.83;0.99272;10;0.17;0.25;0.3;0.18
6.5;196;0.48;7.4;0.036;20;6;3.47;0.99712;9.1;1.00;0.69;0.38;0.35
6.8;182;0.35;1.2;0.041;29;5;3.04;0.99104;11.2;0.25;0.50;0.26;0.22
6.3;119;0.52;3.4;0.053;20;6;3.11;0.99373;9.2;0.25;0.62;0.24;0.18
6.6;139;0.5;18.15;0.05;23;5;3.06;0.99904;9.2;1.00;0.46;0.22;0.26
6.6;200;0.48;8;0.038;54;5;3.18;0.9956;9.5;0.11;0.67;0.45;0.3
6.3;152;0.6;2.5;0.024;40;7;3.35;0.99095;11.9;0.25;0.57;0.27;0.34
7.7;138;0.62;2;0.068;28;5;3.11;0.99382;9.8;1.00;0.07;0.23;0.3
7.7;134;0.62;2;0.069;29;5;3.11;0.99382;9.8;0.10;0.05;0.23;0.31
5.7;150;0.44;6.9;0.036;46;7;3.36;0.99299;10.8;0.14;0.52;0.28;0.265
5.4;122;0.66;1.2;0.051;29;6;3.37;0.99048;11.3;0.20;0.98;0.33;0.255
6.6;121;0.34;9.4;0.028;13;6;3.17;0.99254;12.1;0.10;0.09;0.28;0.26
4.8;111;0.34;2.9;0.03;22;7;3.38;0.9902;11.3;1.00;0.76;0.28;0.17
5.7;150;0.44;6.9;0.036;46;7;3.36;0.99299;10.8;0.14;0.77;0.28;0.265
6.2;75;0.41;5.4;0.028;21;7;3.36;0.99012;13.5;0.13;0.77;0.33;0.2
7.5;126;0.45;1.3;0.044;11;5;3.28;0.99293;10.3;0.13;0.22;0.41;0.28
6.2;184;0.53;20.8;0.035;58;6;3.11;1.00022;9;0.10;0.47;0.2;0.22
7;166;0.35;10.3;0.041;51;6;3.08;0.99382;11.6;0.17;0.57;0.26;0.34
7.5;126;0.45;1.3;0.044;11;5;3.28;0.99293;10.3;1.00;0.01;0.41;0.28
6.5;116;0.68;1.6;0.029;39;6;3.21;0.98954;12.5;0.14;0.79;0.34;0.19
6;125;0.45;13.1;0.042;28;5;3.39;0.99936;8.6;0.13;0.48;0.29;0.21
6.1;74;0.33;1.8;0.16;34;6;3.19;0.9884;13.4;0.17;0.05;0.46;0.22
6.5;88;0.79;8;0.026;18;4;3.22;0.99144;12.7;0.25;0.06;0.48;0.32
7.1;120;0.51;1.6;0.167;65;5;2.97;0.99324;9.2;0.25;0.45;0.72;0.21
5.6;135;0.35;1.4;0.034;18;6;3.32;0.99174;10.2;1.00;0.22;0.18;0.26
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;1.00;0.41;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.33;0.16;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.20;0.96;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.10;0.84;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.50;0.58;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;1.00;0.25;0.28;0.15
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.33;0.49;0.28;0.15
7.4;121;0.4;1.8;0.04;45;5;3.02;0.99043;11.9;0.11;0.65;0.28;0.27
6.8;194;0.42;10.6;0.07;67;6;2.89;0.99654;9;0.13;0.17;0.3;0.22
6.2;134;0.51;12.5;0.055;47;5;3.3;0.99758;9;0.20;0.73;0.25;0.24
6.3;143;0.59;6.8;0.051;40;6;3.43;0.99374;11;1.00;0.21;0.29;0.28
7;149;0.39;14.7;0.051;29;7;2.96;0.99792;9;0.11;0.12;0.28;0.15
5.5;108;0.5;2.9;0.039;10;5;3.28;0.99243;10;0.10;0.47;0.23;0.17
6.5;184;0.46;1.4;0.04;25;5;3.29;0.99216;10.7;0.14;0.29;0.34;0.26
6.6;183;0.46;1.4;0.042;24;5;3.29;0.99215;10.7;1.00;0.68;0.33;0.27
5.4;130;0.77;2.1;0.026;29;8;3.39;0.98953;13.4;0.13;0.39;0.15;0.46
7.8;124;0.39;7.4;0.015;47;6;2.99;0.99278;11;0.17;0.70;0.32;0.19
5.5;108;0.5;2.9;0.039;10;5;3.28;0.99243;10;0.14;0.99;0.23;0.17
6.5;184;0.46;1.4;0.04;25;5;3.29;0.99216;10.7;0.14;0.51;0.34;0.26
6.6;183;0.46;1.4;0.042;24;5;3.29;0.99215;10.7;0.25;0.59;0.33;0.27
7.8;124;0.39;7.4;0.015;47;6;2.99;0.99278;11;0.17;0.29;0.32;0.19
7.8;101;0.39;5;0.016;31;6;2.99;0.99186;11;0.50;0.05;0.32;0.2
6.1;98;0.37;2.5;0.028;22;7;3.16;0.99072;11.1;0.20;0.23;0.28;0.17
7.4;40;0.52;6.1;0.025;10;5;2.79;0.99244;10.9;0.11;0.31;0.35;0.2
6.7;80;0.37;2.7;0.017;22;5;3.03;0.99084;11.5;1.00;0.98;0.24;0.39
5.4;130;0.77;2.1;0.026;29;8;3.39;0.98953;13.4;0.17;0.56;0.15;0.46
6.9;186;0.49;12.9;0.033;59;5;3.08;0.99754;9.4;0.13;0.50;0.17;0.4
6.9;186;0.49;12.9;0.033;59;5;3.08;0.99754;9.4;0.33;0.73;0.17;0.4
6.9;186;0.49;12.9;0.033;59;5;3.08;0.99754;9.4;0.17;0.99;0.17;0.4
6.3;134;0.38;13.7;0.035;53;6;3.17;0.99567;10.6;0.33;1.00;0.29;0.24
6.9;186;0.49;12.9;0.033;59;5;3.08;0.99754;9.4;0.10;0.53;0.17;0.4
7.4;143;0.65;2.4;0.014;15;4;3.03;0.99094;12;0.25;0.17;0.31;0.27
6.1;125;0.42;9.8;0.042;61;6;3.14;0.99532;10.2;0.50;0.27;0.28;0.27
6.3;134;0.38;13.7;0.035;53;6;3.17;0.99567;10.6;0.25;0.18;0.29;0.24
5;100;0.37;1.3;0.009;65;5;3.26;0.9874;13.5;0.20;0.35;0.12;0.61
6.7;248;0.58;12.1;0.04;61;5;3.31;0.99794;9.7;0.33;0.37;0.39;0.42
6.5;103;0.32;6.1;0.018;41;6;3.24;0.99122;12.2;0.20;0.86;0.28;0.33
6.9;135;0.57;7.7;0.04;29;5;3.11;0.99226;12.3;0.11;0.08;0.31;0.33
6.5;103;0.32;6.1;0.018;41;6;3.24;0.99122;12.2;0.20;0.16;0.28;0.33
6.3;100;0.57;1.4;0.022;38;7;3.42;0.99099;11.4;0.17;0.32;0.3;0.15
6.5;97;0.7;7.7;0.022;31;7;3.2;0.99134;12.7;0.10;0.26;0.45;0.32
6.7;248;0.58;12.1;0.04;61;5;3.31;0.99794;9.7;0.10;0.75;0.39;0.42
7.4;113;0.29;6.8;0.02;31;6;3.13;0.99338;10.8;0.50;0.69;0.29;0.25
7.6;96;0.29;9.2;0.018;23;6;3.08;0.9938;11;0.25;0.31;0.3;0.27
6.4;196;0.48;8.3;0.05;52;5;3.18;0.9955;9.5;0.11;0.95;0.45;0.27
6.5;140;0.49;17.4;0.064;29;6;3.2;0.99776;10.1;0.11;0.02;0.27;0.25
5.6;100;0.4;2.7;0.027;11;7;3.46;0.98964;13.2;0.33;0.15;0.31;0.19
7.4;182;0.34;12.8;0.037;61.5;5;3.02;0.99808;8.8;0.10;0.48;0.48;0.29
6.4;201;0.48;8.2;0.043;54;5;3.18;0.99551;9.5;0.14;0.10;0.44;0.34
6.6;202;0.48;8.1;0.044;53;5;3.18;0.99548;9.5;0.13;0.65;0.52;0.27
6.6;191;0.47;8.2;0.047;52;6;3.16;0.99541;9.5;0.20;0.26;0.52;0.26
6.4;196;0.48;8.3;0.05;52;5;3.18;0.9955;9.5;0.50;0.67;0.45;0.27
6.5;197;0.47;8;0.051;46;5;3.18;0.99536;9.5;0.25;0.27;0.5;0.26
6.8;133;0.58;11.8;0.043;53;6;3.03;0.99524;10.4;0.14;0.15;0.3;0.25
6.3;170;0.55;12;0.049;63;6;3.14;0.9961;9.9;0.10;0.07;0.26;0.32
5.5;113;0.48;1.7;0.046;22;5;3.22;0.99224;10;0.20;0.77;0.45;0.24
6.5;140;0.49;17.4;0.064;29;6;3.2;0.99776;10.1;0.17;0.60;0.27;0.25
6.6;95;0.39;13.9;0.056;33;6;3.17;0.99702;9.4;0.20;0.27;0.29;0.13
7;91;0.47;10.7;0.098;13;5;3.03;0.99657;9.3;1.00;0.21;0.21;0.39
7.9;138;0.52;2;0.057;21;5;3.05;0.99176;10.9;0.33;0.97;0.39;0.21
7;177;0.57;2.2;0.042;21;5;3.2;0.99166;11.4;0.20;0.02;0.28;0.3
